target_id,ra,dec
34941004,152.2827,82.3172
10965138,189.9626,19.1869
28566572,96.3867,-52.0231
45575298,116.6962,-86.4942
96637649,24.6677,-77.767
83227889,175.8715,72.9606
36786211,311.2581,85.7171
92097999,107.9989,-33.0881
63843426,96.112,78.5978
99949389,198.7346,59.2928
41774346,12.9701,-23.5411
77834855,354.1872,55.278
69476001,155.1784,-13.7558
45059710,293.9712,-7.1454
70291817,230.1936,-85.4981
98447167,25.5575,23.5985
90388981,122.4632,-37.17
48285503,290.888,64.074
96028436,183.4295,-73.6363
20576383,212.1356,55.6975
